Name,State,District,Party,Score,Lifetime Score,Letter to President Trump demanding reinstatement of NLRB Member Gwynn Wilcox,"H.R. 77, the Midnight Rules Relief Act. (H.R. 77)","H.R. 1526, The No Rogue Ruling Act (“NORRA”) (H.R. 1526)","H.Con.Res.14, House Fiscal Year 2025 Budget Resolution (H.Con.Res.14)","H.R. 22, The Safeguard American Voter Eligibility (SAVE) Act (H.R. 22)","H.R. 1, One Big Beautiful Bill Act (H.R. 1)","H.R. 4, Rescissions Act of 2025 (H.R. 4)","H.R. 1, One Big Beautiful Bill Act, Cruz Amendment (H.R. 1)","H.R. 3633, Digital Asset Market Clarity Act of 2025 (H.R. 3633)","H.R. 4, Rescissions Act of 2025 (H.R. 4)","H.Res. 936, Rule for National Defense Authorization Act for Fiscal Year 2026 (H.Res. 936)","H.R. 2550, Protecting America's Workforce Act (H.R. 2550)","H.R. 6703, Lower Health Care Premiums for All Americans Act  (H.R. 6703)"
Rep. Lois Frankel,FL,22,Democrat,92%,99%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Jared Moskowitz,FL,23,Democrat,92%,95%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Frederica Wilson,FL,24,Democrat,100%,99%,✓,◯,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Debbie Wasserman Schultz,FL,25,Democrat,100%,97%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Mario Diaz-Balart,FL,26,Republican,0%,35%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,◯,ｘ
Rep. Maria Elvira Salazar,FL,27,Republican,0%,24%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,◯,◯,ｘ
Rep. Carlos Giménez,FL,28,Republican,0%,18%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,◯,◯,ｘ
Rep. Buddy Carter,GA,1,Republican,0%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Sanford D. Bishop Jr.,GA,2,Democrat,100%,95%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Brian Jack,GA,3,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Hank Johnson,GA,4,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Nikema Williams,GA,5,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Lucy McBath,GA,6,Democrat,92%,98%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,◯
Rep. Rich McCormick,GA,7,Republican,0%,2%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Austin Scott,GA,8,Republican,0%,12%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Andrew Clyde,GA,9,Republican,0%,3%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Mike Collins,GA,10,Republican,0%,2%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Barry Loudermilk,GA,11,Republican,0%,7%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Rick Allen,GA,12,Republican,0%,8%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. David Scott,GA,13,Democrat,100%,97%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Marjorie Taylor Greene,GA,14,Republican,0%,1%,ｘ,ｘ,ｘ,ｘ,◯,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Ed Case,HI,1,Democrat,92%,94%,✓,✓,✓,✓,ｘ,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Jill Tokuda,HI,2,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Mariannette Miller-Meeks,IA,1,Republican,8%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,✓,ｘ
Rep. Ashley Hinson,IA,2,Republican,0%,8%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Zach Nunn,IA,3,Republican,8%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,✓,ｘ
Rep. Randy Feenstra,IA,4,Republican,0%,6%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Russ Fulcher,ID,1,Republican,0%,6%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Mike Simpson,ID,2,Republican,0%,20%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Jonathan Jackson,IL,1,Democrat,92%,96%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Robin Kelly,IL,2,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Delia Ramirez,IL,3,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Jesús García,IL,4,Democrat,100%,97%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Mike Quigley,IL,5,Democrat,100%,95%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Sean Casten,IL,6,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Danny K. Davis,IL,7,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Raja Krishnamoorthi,IL,8,Democrat,92%,98%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Jan Schakowsky,IL,9,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Brad Schneider,IL,10,Democrat,92%,95%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Bill Foster,IL,11,Democrat,100%,96%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Mike Bost,IL,12,Republican,8%,32%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,✓,ｘ
Rep. Nikki Budzinski,IL,13,Democrat,92%,98%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Lauren Underwood,IL,14,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Mary Miller,IL,15,Republican,0%,1%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Darin M. LaHood,IL,16,Republican,0%,14%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
